Symbol,Name,Price (Intraday),Change,% Change,Volume,Avg Vol (3 month),Market Cap,PE Ratio (TTM),52 Week Range
ITUB,Itaú Unibanco Holding S.A.,4.8,-0.02,-0.41%,19.168M,33.133M,46.919B,8.14,
FCX,Freeport-McMoRan Inc.,40.29,-0.03,-0.07%,7.762M,12.868M,57.643B,17.22,
PBR,Petróleo Brasileiro S.A. - Petrobras,10.69,-0.18,-1.66%,12.685M,22.537M,69.721B,1.9,
UAL,"United Airlines Holdings, Inc.",42.66,0.63,+1.50%,6.307M,8.543M,14.123B,19.75,
VALE,Vale S.A.,15.1,-0.08,-0.53%,15.367M,22.585M,70.531B,4.21,
MRO,Marathon Oil Corporation,25.52,-0.18,-0.70%,7.765M,10.791M,16.088B,4.85,
OXY,Occidental Petroleum Corporation,63.04,-1.53,-2.37%,10.455M,14.043M,56.845B,5.08,
GM,General Motors Company,34.59,-0.5,-1.42%,10.056M,15.484M,49.134B,5.83,
HBAN,Huntington Bancshares Incorporated,11.19,0.15,+1.36%,14.405M,20.386M,16.221B,7.72,
UMC,United Microelectronics Corporation,8.53,0.1,+1.19%,4.374M,7.483M,21.683B,7.48,
KMI,"Kinder Morgan, Inc.",17.71,0.0,0.00%,7.616M,13.148M,39.812B,15.81,
ET,Energy Transfer LP,12.51,-0.25,-1.96%,9.482M,13.432M,38.713B,8.94,
DAL,"Delta Air Lines, Inc.",33.69,0.23,+0.69%,6.144M,10.03M,21.603B,16.2,
HST,"Host Hotels & Resorts, Inc.",16.08,0.0,0.00%,4.237M,7.506M,11.53B,18.27,
DVN,Devon Energy Corporation,52.91,-0.62,-1.16%,6.127M,10.497M,34.603B,5.8,
CVE,Cenovus Energy Inc.,17.78,-0.6,-3.26%,8.115M,7.49M,34.408B,7.47,
APA,APA Corporation,38.07,0.08,+0.21%,5.085M,6.183M,11.847B,3.45,
PBR-A,Petróleo Brasileiro S.A. - Petrobras,9.51,-0.17,-1.76%,4.06M,8.957M,66.665B,1.7,
LYG,Lloyds Banking Group plc,2.39,0.02,+0.84%,12.177M,11.073M,39.8B,6.64,
SUZ,Suzano S.A.,7.99,-0.12,-1.48%,1.346M,1.625M,10.88B,2.36,
