Date,Open,High,Low,Close,Adj Close,Volume
2019-02-15,-23.100000381469727,-23.100000381469727,-23.100000381469727,-23.100000381469727,-23.100000381469727,0
2019-02-19,-17.5,-17.5,-17.5,-17.5,-17.5,1
2019-02-20,-19.5,-19.5,-19.600000381469727,-19.600000381469727,-19.600000381469727,0
2019-02-21,-12.300000190734863,-12.300000190734863,-12.300000190734863,-12.300000190734863,-12.300000190734863,0
2019-02-22,-6.0,-6.0,-6.0,-6.0,-6.0,99
2019-02-25,-1.7999999523162842,-1.7999999523162842,-16.700000762939453,-8.600000381469727,-8.600000381469727,1
2019-02-26,-2.299999952316284,-2.299999952316284,-12.199999809265137,-12.199999809265137,-12.199999809265137,1
2019-02-27,-1.100000023841858,-1.100000023841858,-1.600000023841858,-1.600000023841858,-1.600000023841858,0
2019-02-28,2.0,2.0,2.0,2.0,2.0,1
2019-03-01,-0.4000000059604645,-0.4000000059604645,-0.4000000059604645,-0.4000000059604645,-0.4000000059604645,0
2019-03-04,-0.5,-0.5,-0.5,-0.5,-0.5,0
2019-03-05,-2.5999999046325684,-2.5999999046325684,-2.5999999046325684,-2.5999999046325684,-2.5999999046325684,0
2019-03-08,-167.89999389648438,-167.89999389648438,-167.89999389648438,-167.89999389648438,-167.89999389648438,0
2019-03-11,-148.6999969482422,-148.6999969482422,-148.6999969482422,-148.6999969482422,-148.6999969482422,0
2019-03-12,-151.60000610351562,-151.60000610351562,-151.60000610351562,-151.60000610351562,-151.60000610351562,0
2019-03-13,-150.5,-150.5,-150.5,-150.5,-150.5,0
2019-03-14,-150.5,-150.5,-150.5,-150.5,-150.5,0
2019-03-15,-153.6999969482422,-153.6999969482422,-153.6999969482422,-153.6999969482422,-153.6999969482422,0
2019-03-18,-158.5,-158.5,-158.5,-158.5,-158.5,0
2019-03-19,-151.0,-151.0,-151.0,-151.0,-151.0,0
2019-03-20,-150.0,-150.0,-150.0,-150.0,-150.0,0
2019-03-22,-211.39999389648438,-211.39999389648438,-211.39999389648438,-211.39999389648438,-211.39999389648438,0
2019-03-25,-199.10000610351562,-199.10000610351562,-199.10000610351562,-199.10000610351562,-199.10000610351562,0
2019-03-26,-197.8000030517578,-197.8000030517578,-197.8000030517578,-197.8000030517578,-197.8000030517578,0
2019-03-27,-1.0,-1.0,-1.0,-1.0,-1.0,0
2019-03-28,-1.0,-1.0,-1.0,-1.0,-1.0,0
2019-03-29,-0.800000011920929,-0.800000011920929,-0.800000011920929,-0.800000011920929,-0.800000011920929,0
2019-04-01,-1.0,-1.0,-1.0,-1.0,-1.0,0
2019-04-02,-4.0,-4.0,-4.0,-4.0,-4.0,0
2019-04-03,-4.0,-4.0,-4.0,-4.0,-4.0,0
2019-04-04,-4.0,-4.0,-4.0,-4.0,-4.0,0
2019-04-05,-5.099999904632568,-5.099999904632568,-5.099999904632568,-5.099999904632568,-5.099999904632568,0
2019-04-08,-5.099999904632568,-5.099999904632568,-5.099999904632568,-5.099999904632568,-5.099999904632568,0
2019-04-09,-2.799999952316284,-2.799999952316284,-2.799999952316284,-2.799999952316284,-2.799999952316284,0
2019-04-10,-2.799999952316284,-2.799999952316284,-2.799999952316284,-2.799999952316284,-2.799999952316284,0
2019-04-11,-2.799999952316284,-2.799999952316284,-2.799999952316284,-2.799999952316284,-2.799999952316284,0
2019-04-12,-4.800000190734863,-4.800000190734863,-4.800000190734863,-4.800000190734863,-4.800000190734863,0
2019-04-15,-2.799999952316284,-2.799999952316284,-2.799999952316284,-2.799999952316284,-2.799999952316284,0
2019-04-16,-4.5,-3.5,-4.5,-3.5,-3.5,0
2019-04-17,-3.5,-3.5,-3.5,-3.5,-3.5,0
2019-04-18,-3.0,-3.0,-3.0,-3.0,-3.0,0
2019-04-22,-3.0,-3.0,-3.0,-3.0,-3.0,0
2019-04-23,-2.5,-2.5,-2.5,-2.5,-2.5,0
2019-04-24,-2.5,-2.5,-2.5,-2.5,-2.5,0
2019-04-25,-0.5,-0.5,-0.5,-0.5,-0.5,0
2019-04-26,-0.5,-0.5,-0.5,-0.5,-0.5,0
2019-05-07,-0.5,-0.5,-0.5,-0.5,-0.5,0
2019-05-08,-1.5,-1.5,-1.5,-1.5,-1.5,0
2019-05-09,-1.5,-1.5,-1.5,-1.5,-1.5,0
2019-05-10,-3.700000047683716,-3.700000047683716,-3.700000047683716,-3.700000047683716,-3.700000047683716,0
2019-05-13,-4.400000095367432,-4.400000095367432,-4.400000095367432,-4.400000095367432,-4.400000095367432,0
2019-05-14,-4.400000095367432,-4.400000095367432,-4.400000095367432,-4.400000095367432,-4.400000095367432,0
2019-05-15,-3.5999999046325684,-3.5999999046325684,-3.5999999046325684,-3.5999999046325684,-3.5999999046325684,0
2019-05-16,-3.5999999046325684,-3.5999999046325684,-3.5999999046325684,-3.5999999046325684,-3.5999999046325684,0
