symbol,name,market
EURUSD=X,EUR/USD,Forex
JPY=X,USD/JPY,Forex
GBPUSD=X,USD/GBP,Forex
AUDUSD=X,USD/AUD,Forex
NZDUSD=X,USD/NZD,Forex
EURJPY=X,EUR/JPY,Forex
GBPJPY=X,GBP/JPY,Forex
EURGBP=X,EUR/GBP,Forex
EURCAD=X,EUR/CAD,Forex
EURSEK=X,EUR/SEK,Forex
EURCHF=X,EUR/CHF,Forex
EURHUF=X,EUR/HUF,Forex
EURJPY=X,EUR/JPY,Forex
CNY=X,USD/CNY,Forex
HKD=X,USD/HKD,Forex
SGD=X,USD/SGD,Forex
INR=X,USD/INR,Forex
MXN=X,USD/MXN,Forex
PHP=X,USD/PHP,Forex
IDR=X,USD/IDR,Forex
THB=X,USD/THB,Forex
MYR=X,USD/MYR,Forex
ZAR=X,USD/ZAR,Forex
RUB=X,USD/RUB,Forex
