Symbol,Name,Change,% Change,Price (Intraday),50 Day Average,200 Day Average,3-Mo Return,YTD Return,52 Week Range
MGRRX,MFS International Growth Fund Class R1,0.12,+0.35%,33.96,33.17,31.49,5.51%,9.13%,
MQGIX,MFS International Growth Fund,0.15,+0.34%,44.39,43.31,41.05,5.77%,9.43%,
MGRDX,MFS International Growth Fund Class R6,0.14,+0.36%,39.29,38.34,36.41,5.80%,9.47%,
FIGSX,Fidelity Series International Growth Fund,-0.02,-0.13%,15.63,15.37,14.65,5.54%,9.47%,
VIHAX,Vanguard International High Dividend Yield Fund,0.09,+0.30%,30.24,30.17,28.64,2.35%,5.51%,
HFQRX,Janus Henderson Global Equity Income Fund - N Shares,0.04,+0.65%,6.18,6.17,6.0,1.95%,5.17%,
HFQCX,Janus Henderson Global Equity Income Fund,0.03,+0.49%,6.07,6.05,5.89,1.63%,4.90%,
HFQIX,Janus Henderson Global Equity Income Fund,0.04,+0.65%,6.18,6.17,6.0,1.93%,5.15%,
HFQTX,Janus Henderson Global Equity Income Fund,0.04,+0.65%,6.14,6.13,5.96,1.92%,5.17%,
HFQDX,Janus Henderson Global Equity Income Fund,0.03,+0.49%,6.15,6.13,5.97,1.76%,5.17%,
HFQSX,Janus Henderson Global Equity Income Fund,0.04,+0.66%,6.1,6.09,5.93,1.72%,4.97%,
HFQAX,Janus Henderson Global Equity Income Fund,0.03,+0.49%,6.17,6.15,5.99,1.71%,5.11%,
TBGVX,"Tweedy, Browne International Value Fund",0.14,+0.51%,27.27,26.73,26.22,,,
DISCX,BNY Mellon International Stock Fund Class C,-0.09,-0.40%,22.31,21.51,20.12,8.07%,11.55%,
DISAX,BNY Mellon International Stock Fund,-0.09,-0.39%,22.9,22.06,20.66,8.31%,11.81%,
DISYX,BNY Mellon International Stock Fund Class Y,-0.09,-0.40%,22.75,21.91,20.55,8.42%,11.90%,
DISRX,BNY Mellon International Stock Fund,-0.1,-0.43%,23.04,22.19,20.8,8.36%,11.85%,
ARTJX,Artisan International Small-Mid Fund,0.03,+0.18%,16.49,16.5,15.6,4.23%,5.90%,
APHJX,Artisan International Small-Mid Fund,0.03,+0.18%,16.75,16.75,15.85,4.29%,5.93%,
APDJX,Artisan International Small-Mid Fund,0.04,+0.24%,16.55,16.56,15.66,4.34%,5.94%,
FITGX,Fidelity Advisor International Growth Fund Class M,-0.03,-0.18%,17.09,16.82,15.88,5.11%,8.94%,
FZAJX,Fidelity International Growth Fund,-0.03,-0.17%,17.39,17.1,16.14,5.34%,9.18%,
FIGCX,Fidelity Advisor International Growth Fund Class C,-0.02,-0.12%,16.52,16.27,15.39,5.03%,8.84%,
FIIIX,Fidelity International Growth Fund,-0.02,-0.12%,17.35,17.07,16.11,5.29%,9.13%,
FIAGX,Fidelity Advisor International Growth Fund Class A,-0.03,-0.17%,17.23,16.95,15.99,5.20%,9.07%,
