Symbol,Name,Last Price,Change,% Change,52 Week Range,Day Chart
EURUSD=X,EUR/USD,1.0908,-0.0018,-0.16%,,
JPY=X,USD/JPY,132.1370,0.447,+0.34%,,
GBPUSD=X,USD/GBP,1.2419,-0.0019,-0.15%,,
AUDUSD=X,USD/AUD,0.6671,-0.0003,-0.04%,,
NZDUSD=X,USD/NZD,0.6259,0.0013,+0.21%,,
EURJPY=X,EUR/JPY,144.1340,0.382,+0.27%,,
GBPJPY=X,GBP/JPY,164.1650,0.365,+0.22%,,
EURGBP=X,EUR/GBP,0.8780,0.0006,+0.06%,,
EURCAD=X,EUR/CAD,1.4725,0.0,+0.00%,,
EURSEK=X,EUR/SEK,11.4156,0.0301,+0.26%,,
EURCHF=X,EUR/CHF,0.9868,-0.0011,-0.11%,,
EURHUF=X,EUR/HUF,374.1900,-1.33,-0.35%,,
EURJPY=X,EUR/JPY,144.1340,0.382,+0.27%,,
CNY=X,USD/CNY,6.8676,-0.0069,-0.10%,,
HKD=X,USD/HKD,7.8492,-0.0003,-0.00%,,
SGD=X,USD/SGD,1.3318,0.0017,+0.13%,,
INR=X,USD/INR,81.8900,0.09,+0.11%,,
MXN=X,USD/MXN,18.1130,-0.1074,-0.59%,,
PHP=X,USD/PHP,54.4000,-0.08,-0.15%,,
IDR=X,USD/IDR,"14,910.0000",-30.0,-0.20%,,
THB=X,USD/THB,33.8820,-0.18,-0.53%,,
MYR=X,USD/MYR,4.3955,-0.0015,-0.03%,,
ZAR=X,USD/ZAR,18.1942,-0.0626,-0.34%,,
RUB=X,USD/RUB,81.4500,0.2264,+0.28%,,
