Symbol,Name,Price (Intraday),Change,% Change,Volume,50 Day Average,200 Day Average,52 Week Range
KBWP,Invesco KBW Property & Casualty Insurance ETF,84.04,0.35,+0.42%,"11,888",86.65,82.68,
AIRR,First Trust RBA American Industrial RenaissanceTM ETF,44.74,-0.35,-0.78%,"56,483",48.36,44.12,
PSCT,Invesco S&P SmallCap Information Technology ETF,126.16,-0.62,-0.49%,739,130.7,124.22,
FTXN,First Trust Nasdaq Oil & Gas ETF,27.47,-0.46,-1.65%,"162,565",27.42,27.16,
FEMS,First Trust Emerging Markets Small Cap AlphaDEX Fund,37.13,0.13,+0.35%,"35,133",38.17,36.27,
TUR,iShares MSCI Turkey ETF,33.18,0.18,+0.55%,"161,910",34.0,28.44,
PTF,Invesco DWA Technology Momentum ETF,124.61,-0.76,-0.61%,"4,786",125.22,119.29,
SKOR,FlexShares Credit-Scored US Corporate Bond Index Fund,47.61,-0.06,-0.13%,"6,552",47.05,46.9,
VSDA,VictoryShares Dividend Accelerator ETF,44.59,-0.16,-0.36%,"6,487",45.05,44.06,
EWJV,iShares MSCI Japan Value ETF,25.55,-0.07,-0.27%,"2,647",25.4,24.07,
PSC,Principal U.S. Small-Cap Multi-Factor ETF,38.95,-0.03,-0.08%,"1,911",41.33,40.31,
FYT,First Trust Small Cap Value AlphaDEX Fund,44.39,-0.07,-0.17%,"11,469",48.1,46.45,
PTH,Invesco DWA Healthcare Momentum ETF,112.16,0.94,+0.85%,"2,434",115.61,121.51,
IUS,Invesco RAFI Strategic US ETF,38.35,0.02,+0.05%,"14,395",37.85,36.96,
HYZD,WisdomTree Interest Rate Hedged High Yield Bond Fund,20.46,0.09,+0.44%,"41,240",20.78,20.74,
QQXT,First Trust NASDAQ-100 Ex-Technology Sector Index Fund,81.65,-0.08,-0.10%,"16,052",80.86,77.24,
RTH,VanEck Retail ETF,163.08,-0.02,-0.01%,"2,544",161.91,163.36,
DALI,First Trust Dorsey Wright DALI 1 ETF,24.94,0.09,+0.38%,"21,139",24.91,25.0,
PRN,Invesco DWA Industrials Momentum ETF,89.48,-0.52,-0.58%,"1,901",93.99,89.1,
FCAL,First Trust California Municipal High Income ETF,49.72,0.19,+0.38%,"10,188",49.1,48.55,
ADRE,Invesco BLDRS Emerging Markets 50 ADR Index Fund,38.2,0.06,+0.16%,"109,524",39.7,38.39,
NFTY,First Trust India NIFTY 50 Equal Weight ETF,42.68,0.37,+0.87%,"6,351",42.49,43.96,
IPKW,Invesco International BuyBack Achievers ETF,34.15,0.07,+0.22%,"4,174",34.82,32.85,
FLN,First Trust Latin America AlphaDEX Fund,16.94,-0.12,-0.70%,"7,969",17.33,17.05,
BLCN,Siren Nasdaq NexGen Economy ETF,21.07,0.04,+0.19%,"8,011",21.51,23.62,
PSCI,Invesco S&P SmallCap Industrials ETF,90.27,-0.31,-0.34%,"6,160",96.29,89.86,
PSCC,Invesco S&P SmallCap Consumer Staples ETF,108.46,-0.07,-0.07%,"3,451",108.32,104.19,
ISDX,Invesco RAFI Strategic Developed ex-US ETF,26.54,0.07,+0.26%,"147,443",28.17,26.8,
EMCB,WisdomTree Emerging Markets Corporate Bond Fund,62.57,-0.03,-0.06%,"1,317",62.52,61.3,
