Symbol,Name,Change,% Change,Price (Intraday),50 Day Average,200 Day Average,3-Mo Return,YTD Return,52 Week Range
FXAIX,Fidelity 500 Index Fund,0.54,+0.38%,141.93,140.06,137.05,5.87%,7.43%,
CLBAX,American Funds American Balanced Fund Class 529-A,0.03,+0.10%,29.54,29.23,28.87,1.79%,3.38%,
RLBBX,American Funds American Balanced Fund,0.03,+0.10%,29.38,29.06,28.7,1.61%,3.18%,
BALCX,American Funds American Balanced Fund,0.03,+0.10%,29.38,29.06,28.7,1.61%,3.18%,
FBAFX,American Funds American Balanced Fund,0.03,+0.10%,29.6,29.3,28.93,1.85%,3.45%,
FBONX,American Funds American Balanced Fund,0.04,+0.14%,29.59,29.29,28.93,1.89%,3.49%,
RLBAX,American Funds American Balanced Fund,0.03,+0.10%,29.35,29.03,28.67,1.61%,3.18%,
CLBCX,American Funds American Balanced Fund,0.03,+0.10%,29.58,29.26,28.9,1.59%,3.18%,
RLBFX,American Funds American Balanced Fund Class R-5,0.03,+0.10%,29.64,29.34,28.97,1.86%,3.45%,
AMBFX,American Balanced Fund,0.03,+0.10%,29.58,29.27,28.91,,,
ABALX,American Funds American Balanced Fund Class A,0.03,+0.10%,29.6,29.3,28.93,1.79%,3.39%,
BALFX,American Funds American Balanced Fund,0.04,+0.14%,29.57,29.27,28.9,1.82%,3.41%,
RLBCX,American Funds American Balanced Fund Class R-3,0.04,+0.14%,29.42,29.11,28.75,1.75%,3.32%,
CLBEX,American Funds American Balanced Fund Class 529-E,0.04,+0.14%,29.52,29.21,28.85,1.76%,3.32%,
RLEFX,American Funds American Balanced Fund,0.03,+0.10%,29.57,29.27,28.9,1.84%,3.43%,
RLBGX,American Funds American Balanced Fund Class R-6,0.03,+0.10%,29.61,29.31,28.94,1.87%,3.47%,
RLBEX,American Funds American Balanced Fund,0.03,+0.10%,29.55,29.24,28.88,1.82%,3.38%,
CLBFX,American Funds American Balanced Fund Class 529-F,0.03,+0.10%,29.51,29.21,28.84,1.85%,3.44%,
RAMHX,American Funds American Balanced Fund Class R-2E,0.03,+0.10%,29.46,29.15,28.79,1.68%,3.24%,
AFMBX,American Funds American Balanced Fund,0.03,+0.10%,29.59,29.28,28.92,1.91%,3.47%,
CIREX,American Funds Capital Income Builder Class 529-E,0.15,+0.23%,64.22,63.74,62.75,0.70%,2.82%,
CAIBX,American Funds Capital Income Builder Class A,0.15,+0.23%,64.21,63.74,62.74,0.76%,2.89%,
RIRHX,American Funds Capital Income Builder,0.15,+0.23%,64.09,63.63,62.64,0.79%,2.93%,
RIRBX,American Funds Capital Income Builder Class R-2,0.15,+0.23%,64.27,63.77,62.77,0.57%,2.69%,
RIRCX,American Funds Capital Income Builder Class R-3,0.14,+0.22%,64.24,63.75,62.76,0.67%,2.79%,
CAIFX,American Funds Capital Income Builder,0.15,+0.23%,64.14,63.68,62.68,0.83%,2.96%,
CIRFX,American Funds Capital Income Builder,0.15,+0.23%,64.16,63.7,62.7,0.79%,2.92%,
FBCIX,American Funds Capital Income Builder,0.15,+0.23%,64.21,63.75,62.75,0.83%,2.96%,
