Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2013-04-09 00:00:00-04:00,713.5,714.25,704.25,708.75,57723,0.0,0.0
2013-04-10 00:00:00-04:00,706.0,713.0,688.0,696.75,82133,0.0,0.0
2013-04-11 00:00:00-04:00,697.5,705.75,693.5,697.75,57183,0.0,0.0
2013-04-12 00:00:00-04:00,699.0,716.0,698.25,714.75,52556,0.0,0.0
2013-04-15 00:00:00-04:00,715.0,715.5,688.5,693.75,54689,0.0,0.0
2013-04-16 00:00:00-04:00,692.75,704.0,689.75,703.5,35701,0.0,0.0
2013-04-17 00:00:00-04:00,703.5,715.5,698.5,703.75,45451,0.0,0.0
2013-04-18 00:00:00-04:00,705.0,712.0,696.0,702.75,27122,0.0,0.0
2013-04-19 00:00:00-04:00,704.25,711.75,697.75,709.0,29700,0.0,0.0
2013-04-22 00:00:00-04:00,707.5,707.5,691.25,702.25,31039,0.0,0.0
2013-04-23 00:00:00-04:00,702.75,703.5,690.25,697.5,25386,0.0,0.0
2013-04-24 00:00:00-04:00,697.5,698.75,688.5,691.75,24327,0.0,0.0
2013-04-25 00:00:00-04:00,691.25,705.5,690.5,701.25,22219,0.0,0.0
2013-04-26 00:00:00-04:00,702.0,702.0,685.5,688.75,27045,0.0,0.0
2013-04-29 00:00:00-04:00,688.75,713.0,688.75,709.75,23663,0.0,0.0
2013-04-30 00:00:00-04:00,709.25,727.5,697.25,721.75,5497,0.0,0.0
2013-05-01 00:00:00-04:00,722.25,722.25,705.0,710.5,3560,0.0,0.0
2013-05-02 00:00:00-04:00,710.5,718.75,709.25,718.75,2939,0.0,0.0
2013-05-03 00:00:00-04:00,718.75,722.75,711.25,711.25,1102,0.0,0.0
2013-05-06 00:00:00-04:00,701.0,703.5,690.75,693.0,1339,0.0,0.0
2013-05-07 00:00:00-04:00,696.25,699.5,690.0,699.5,536,0.0,0.0
2013-05-08 00:00:00-04:00,697.5,697.5,693.25,696.75,191,0.0,0.0
2013-05-09 00:00:00-04:00,700.5,719.0,700.5,716.25,157,0.0,0.0
2013-05-10 00:00:00-04:00,703.0,703.0,696.75,696.75,19,0.0,0.0
2013-05-13 00:00:00-04:00,699.75,706.25,699.75,701.5,103,0.0,0.0
2013-05-14 00:00:00-04:00,700.75,701.5,700.75,701.5,38738,0.0,0.0
2013-05-15 00:00:00-04:00,711.0,711.25,692.5,693.75,52020,0.0,0.0
2013-05-16 00:00:00-04:00,694.0,699.0,681.5,687.75,65093,0.0,0.0
2013-05-17 00:00:00-04:00,688.25,689.75,680.25,683.25,42132,0.0,0.0
2013-05-20 00:00:00-04:00,681.25,688.5,674.5,685.25,44151,0.0,0.0
2013-05-21 00:00:00-04:00,684.25,684.5,674.0,680.5,35805,0.0,0.0
2013-05-22 00:00:00-04:00,680.5,692.75,680.0,688.5,44076,0.0,0.0
2013-05-23 00:00:00-04:00,687.5,709.0,687.0,703.25,69917,0.0,0.0
2013-05-24 00:00:00-04:00,704.0,707.5,696.25,697.5,43322,0.0,0.0
2013-05-28 00:00:00-04:00,699.0,705.0,687.75,693.75,53639,0.0,0.0
2013-05-29 00:00:00-04:00,693.5,704.0,688.75,702.75,55930,0.0,0.0
2013-05-30 00:00:00-04:00,699.0,702.25,687.5,698.75,53057,0.0,0.0
2013-05-31 00:00:00-04:00,697.25,707.5,692.5,705.5,58724,0.0,0.0
2013-06-03 00:00:00-04:00,708.5,714.5,692.5,708.75,73766,0.0,0.0
2013-06-04 00:00:00-04:00,708.75,713.25,700.0,709.0,57525,0.0,0.0
2013-06-05 00:00:00-04:00,709.75,712.5,701.0,701.5,44556,0.0,0.0
2013-06-06 00:00:00-04:00,701.75,706.25,693.5,697.75,61320,0.0,0.0
2013-06-07 00:00:00-04:00,696.5,703.25,694.25,696.25,51784,0.0,0.0
2013-06-10 00:00:00-04:00,693.0,695.25,680.5,689.75,71412,0.0,0.0
2013-06-11 00:00:00-04:00,690.5,699.75,686.75,696.75,64154,0.0,0.0
2013-06-12 00:00:00-04:00,694.5,696.75,679.0,683.0,73109,0.0,0.0
2013-06-13 00:00:00-04:00,683.0,687.0,675.0,685.5,64445,0.0,0.0
2013-06-14 00:00:00-04:00,685.0,685.5,676.5,680.75,54328,0.0,0.0
2013-06-17 00:00:00-04:00,679.5,689.25,674.5,680.5,52922,0.0,0.0
2013-06-18 00:00:00-04:00,681.0,689.75,680.5,687.5,55087,0.0,0.0
2013-06-19 00:00:00-04:00,684.5,710.75,682.5,707.0,75512,0.0,0.0
2013-06-20 00:00:00-04:00,705.25,707.75,695.0,700.5,58308,0.0,0.0
2013-06-21 00:00:00-04:00,700.0,704.5,696.0,698.0,47533,0.0,0.0
2013-06-24 00:00:00-04:00,694.0,695.0,676.75,679.0,62320,0.0,0.0
