Date,Open,High,Low,Close,Adj Close,Volume
2018-01-22,53.66999816894531,53.779998779296875,53.66999816894531,53.779998779296875,53.779998779296875,0
2018-01-23,54.0,54.0,54.0,54.0,54.0,0
2018-01-24,53.459999084472656,53.459999084472656,53.459999084472656,53.459999084472656,53.459999084472656,0
2018-01-25,53.63999938964844,53.63999938964844,53.63999938964844,53.63999938964844,53.63999938964844,0
2018-01-26,53.529998779296875,53.529998779296875,53.529998779296875,53.529998779296875,53.529998779296875,0
2018-01-29,53.15999984741211,53.15999984741211,53.15999984741211,53.15999984741211,53.15999984741211,0
2018-01-30,52.540000915527344,52.540000915527344,52.540000915527344,52.540000915527344,52.540000915527344,0
2018-01-31,52.349998474121094,52.349998474121094,52.349998474121094,52.349998474121094,52.349998474121094,0
2018-02-01,52.34000015258789,52.34000015258789,52.34000015258789,52.34000015258789,52.34000015258789,0
2018-02-02,51.380001068115234,51.380001068115234,51.380001068115234,51.380001068115234,51.380001068115234,0
2018-02-05,51.040000915527344,51.040000915527344,51.040000915527344,51.040000915527344,51.040000915527344,0
2018-02-06,50.790000915527344,50.790000915527344,50.790000915527344,50.790000915527344,50.790000915527344,0
2018-02-07,50.09000015258789,50.09000015258789,50.09000015258789,50.09000015258789,50.09000015258789,0
2018-02-08,50.119998931884766,50.119998931884766,50.119998931884766,50.119998931884766,50.119998931884766,0
2018-02-09,49.58000183105469,49.58000183105469,49.58000183105469,49.58000183105469,49.58000183105469,0
2018-02-12,49.810001373291016,49.810001373291016,49.810001373291016,49.810001373291016,49.810001373291016,0
2018-02-13,50.5,50.5,50.5,50.5,50.5,0
2018-02-14,50.4900016784668,50.4900016784668,50.4900016784668,50.4900016784668,50.4900016784668,0
2018-02-15,50.43000030517578,50.43000030517578,50.43000030517578,50.43000030517578,50.43000030517578,0
2018-02-16,50.720001220703125,50.720001220703125,50.720001220703125,50.720001220703125,50.720001220703125,0
2018-02-20,51.31999969482422,51.31999969482422,51.31999969482422,51.31999969482422,51.31999969482422,0
2018-02-21,51.36000061035156,51.36000061035156,51.36000061035156,51.36000061035156,51.36000061035156,0
2018-02-22,51.5,51.5,51.5,51.5,51.5,0
2018-02-23,52.290000915527344,52.290000915527344,52.290000915527344,52.290000915527344,52.290000915527344,0
2018-02-26,52.900001525878906,52.900001525878906,52.900001525878906,52.900001525878906,52.900001525878906,0
2018-02-27,52.5099983215332,52.5099983215332,52.5099983215332,52.5099983215332,52.5099983215332,0
