Symbol	Name	Price (Intraday)	Change	% Change	Volume	Avg Vol (3 month)	Market Cap	PE Ratio (TTM)	52 Week Range
CVNA	Carvana Co.	9.01	+0.51	+6.00%	7.039M	26.471M	1.6B	N/A
HA	Hawaiian Holdings, Inc.	8.52	-0.18	-2.07%	808,186	1.445M	458.432M	N/A
UPWK	Upwork Inc.	10.33	+0.12	+1.18%	1.417M	1.371M	1.473B	N/A
LPSN	LivePerson, Inc.	4.4800	+0.2500	+5.91%	1.308M	1.852M	368.829M	N/A
BCYC	Bicycle Therapeutics plc	22.22	+0.99	+4.66%	199,822	349,927	667.069M	N/A
COOK	Traeger, Inc.	3.4600	-0.1500	-4.16%	497,708	508,787	460.775M	N/A
PLAY	Dave & Buster's Entertainment, Inc.	33.98	+0.53	+1.58%	1.179M	1.002M	1.645B	12.01
VNET	VNET Group, Inc.	3.7600	+0.0800	+2.17%	924,822	2.426M	588.515M	N/A
AROC	Archrock, Inc.	9.94	-0.07	-0.70%	570,065	1.036M	1.561B	35.50
HCC	Warrior Met Coal, Inc.	35.31	-0.54	-1.51%	283,923	627,233	1.845B	2.85
LADR	Ladder Capital Corp	9.17	+0.02	+0.22%	678,669	814,548	1.165B	8.12
RDFN	Redfin Corporation	8.87	+0.38	+4.48%	1.656M	4.162M	1.012B	N/A
SD	SandRidge Energy, Inc.	15.33	+0.02	+0.13%	423,322	540,619	565.392M	2.34
HEPS	D-Market Elektronik Hizmetler ve Ticaret A.S.	1.1600	+0.0500	+4.50%	338,248	764,733	378.158M	N/A
SXC	SunCoke Energy, Inc.	8.63	-0.05	-0.58%	351,576	864,454	730.348M	7.25
INSG	Inseego Corp.	0.5700	+0.0803	+16.40%	918,493	684,661	66.996M	N/A
METC	Ramaco Resources, Inc.	8.60	-0.10	-1.15%	214,521	380,630	387.559M	3.31
AVAH	Aveanna Healthcare Holdings Inc.	1.0300	+0.0300	+3.00%	616,546	484,816	210.087M	N/A
GSL	Global Ship Lease, Inc.	18.41	-0.10	-0.54%	333,376	553,688	653.391M	2.41
FA	First Advantage Corporation	12.96	-0.18	-1.37%	222,533	318,182	2.002B	32.40
KTOS	Kratos Defense & Security Solutions, Inc.	12.89	-0.01	-0.08%	667,964	790,332	1.682B	N/A
