Symbol	Name	Price (Intraday)	Change	% Change	52 Week Range
^DJUSRT	Dow Jones U.S. Retail Index	1,699.12	+1.76	+0.10%
^SP500-30	S&P 500 Consumer Staples (Sector)	787.45	+0.63	+0.08%
^DJUSCY	Dow Jones U.S. Consumer Service	1,236.87	+0.95	+0.08%
^SP1500-30	S&P Composite 1500 Consumer Sta	832.42	+0.59	+0.07%
^DJUSTQ	Dow Jones U.S. Technology Hardw	3,952.49	+2.62	+0.07%
^SP500-25	S&P 500 Consumer Discretionary (Sector)	1,129.59	+0.56	+0.05%
^SP1500-4020	S&P Composite 1500 Diversified	988.49	+0.43	+0.04%
^SP500-4020	S&P 500 Diversified Financials (Industry Group)	937.24	+0.36	+0.04%
^SP600	S&P 600	1,150.01	+0.20	+0.02%
^SP500-45301020	S&P 500 Semiconductors (Sub Ind)	2,070.05	+0.18	+0.01%
^DJI2MN	Dow Jones Industrial Average (2	33,485.29	+2.57	+0.01%
^DJI	Dow Jones Industrial Average	33,485.29	+2.57	+0.01%
^SP1500-25	S&P Composite 1500 Consumer Dis	1,045.78	-0.17	-0.02%
^DJUSIG	Dow Jones U.S. Industrial Goods	990.74	-0.17	-0.02%
^DJUSIN	Dow Jones U.S. Industrials Inde	936.19	-0.17	-0.02%
^DJUSNG	Dow Jones U.S. Personal & House	911.55	-0.20	-0.02%
^SP1500-45301020	S&P Composite 1500 Semiconducto	2,059.32	-0.51	-0.02%
^SP500-20	S&P 500 Industrials (Sector)	827.76	-0.21	-0.03%
^DJUSNC	Dow Jones U.S. Consumer Goods I	841.83	-0.57	-0.07%
^SP1500-20	S&P Composite 1500 Industrials	903.38	-0.79	-0.09%
^SP500-453010	S&P 500 Semiconductor & Semiconductor Equipment (Industry)	2,164.56	-3.65	-0.17%
^SP500-4530	S&P 500 Semiconductors & Semiconductor Equipment (Industry Group)	2,164.56	-3.65	-0.17%
^SP400	S&P 400	2,447.09	-4.45	-0.18%
^DJUSCG	Dow Jones U.S. Travel & Leisure	1,292.04	-2.57	-0.20%
^SP1500-4530	S&P Composite 1500 Semiconducto	2,197.58	-4.43	-0.20%
^SP1500-453010	S&P Composite 1500 Semiconducto	2,197.58	-4.43	-0.20%
^SP1500-1510	S&P Composite 1500 Materials (I	539.57	-1.19	-0.22%
^SP1500-15	S&P Composite 1500 Materials (S	539.57	-1.19	-0.22%
^DJUSSC	Dow Jones U.S. Semiconductors I	7,558.53	-17.54	-0.23%
^DJUSFI	Dow Jones U.S. Financial Servic	1,435.50	-3.57	-0.25%
^DJUSGF	Dow Jones U.S. Financial Servic	1,609.01	-4.01	-0.25%
^DJUSBM	Dow Jones U.S. Basic Materials	540.54	-1.65	-0.30%
^SP500-25102010	S&P 500 Automobile Manufacturers (Sub Ind)	58.96	-0.23	-0.39%
^SP1500-25102010	S&P Composite 1500 Automobile M	66.29	-0.26	-0.39%
^SP500-251020	S&P 500 Automobiles (Industry)	78.67	-0.31	-0.39%
^SP1500-251020	S&P Composite 1500 Automobiles	89.14	-0.36	-0.40%
^DJUSAU	Dow Jones U.S. Automobiles Inde	683.09	-2.80	-0.41%
^SP1500-2010	S&P Composite 1500 Capital Good	947.52	-4.00	-0.42%
^DJUSAP	Dow Jones U.S. Automobiles & Pa	810.33	-3.51	-0.43%
^SP500-2510	S&P 500 Automobiles & Components (Industry Group)	107.98	-0.48	-0.44%
^SP1500-2510	S&P Composite 1500 Automobiles	124.75	-0.56	-0.45%
^SP1500-101020	S&P Composite 1500 Oil, Gas & C	739.02	-10.79	-1.44%
^SP500-101020	S&P 500 Oil, Gas & Consumable Fuels (Industry)	736.08	-10.77	-1.44%
^DJUSEN	Dow Jones U.S. Oil & Gas Index	705.86	-10.37	-1.45%
^SP1500-10	S&P Composite 1500 Energy (Sect	646.63	-9.63	-1.47%
^SP1500-1010	S&P Composite 1500 Energy (Indu	646.63	-9.63	-1.47%
^SP500-1010	S&P 500 Energy (Industry Group)	654.14	-9.77	-1.47%
^GSPE	S&P 500 Energy (Sector)	654.14	-9.77	-1.47%
^DJUSOG	Dow Jones U.S. Oil & Gas Produc	842.16	-13.05	-1.53%
